,yhat,yhat_lower,yhat_upper,y
87,0.8669746353866499,0.587664512757083,1.2048012287542216,0.63
88,0.865669012716906,0.5857069185110249,1.2046083717940204,0.63
89,0.869456444878864,0.5765312233851738,1.1978644342280957,0.62
90,0.8778437763426798,0.5801120522163166,1.2096056089386855,0.63
91,0.8812133792148606,0.6030162342433913,1.2114040427197605,0.64
92,0.8832414430386308,0.6007614204427538,1.2300370942339285,0.63
93,0.8779687536196068,0.5834511379169638,1.2049351422923182,0.65
94,0.8789848524078803,0.591589213256452,1.2178631404917382,0.66
95,0.8789316258953122,0.5754092517418028,1.2101081591195988,0.65
96,0.8785057881891969,0.5956451883281404,1.2388818587017911,0.66
97,0.8765800614368564,0.5976330241523202,1.2057947579333952,0.67
98,0.8678506417767051,0.5687135613957535,1.196036075102057,0.68
99,0.864878667795399,0.5915538469644221,1.2110499280295075,0.68
100,0.8560761628041267,0.5813534411237331,1.2220500397072058,0.68
101,0.8523119228977081,0.5651674119685002,1.1816892198867013,0.67
102,0.8473555054953525,0.5547750651861185,1.1787847342529543,0.68
103,0.8356048185942762,0.560257718793826,1.1761304335983467,0.66
104,0.8303936966100716,0.5538227680312162,1.1603063972308143,0.67
105,0.8181255481708232,0.5322946855105333,1.1685262828324232,0.66
106,0.8138845872775484,0.5371882766003857,1.125934751000274,0.67
107,0.808966443996642,0.5056104937278512,1.1356308565411943,0.68
108,0.797695857841968,0.5262874067259973,1.1400397225736412,0.68
109,0.7933317471626469,0.488917637577599,1.133203399159429,0.7
110,0.7830826192300231,0.504542440823355,1.101040006621759,0.69
111,0.7809808452810414,0.5105632897404544,1.1175630552174312,0.67
112,0.7784184272015457,0.5190740388959683,1.096759556119527,0.67
113,0.7695798423507592,0.4919466443806335,1.0894393056839222,0.67
114,0.7678036827495551,0.4961223400507968,1.1175986438188779,0.71
115,0.7786520688923517,0.48067609174109105,1.1321334665699778,0.7
116,0.778988632215589,0.4848389836498157,1.1408593726002807,0.7
117,0.7787948142794607,0.5002402744103478,1.1055704868322334,0.7
118,0.7720078573604345,0.5024301034157075,1.1146351193538626,0.72
119,0.7722416178521698,0.4984601448482562,1.0843354627271284,0.7
120,0.7719022739566026,0.5000860492262331,1.104772401154369,0.7
121,0.773286765523852,0.4979532657971646,1.1254095408091644,0.7
122,0.7739029837838411,0.4731531236557285,1.1036637622415695,0.69
123,0.7645736543454227,0.5081817629275371,1.1098340583394535,0.66
124,0.765247811661502,0.5027554910933032,1.0794816763273585,0.68
125,0.7742242096842695,0.47834655169813556,1.1154509349739024,0.69
126,0.7756693182947008,0.4759272995554369,1.1047238813117835,0.69
127,0.7763224385881227,0.4892274086500037,1.116898026695032,0.7
128,0.7693461459953954,0.4770229937263315,1.1294166358910869,0.7
129,0.770164915340718,0.4998034046473927,1.1060480846388496,0.66
130,0.7778256426871404,0.45856719633014253,1.140133204577384,0.67
